Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,cost_per_ticket,region,vendor,duration
ID0160,Becky,2021-01-03,13:27:50,Streaming,Y,N,86.0,0:05:37,1.0,20.37,APAC,Vendor2,86.0
ID0161,Greg,2021-01-03,13:35:02,Admin Support,Y,Y,104.0,0:02:09,3.0,34.54,APAC,Vendor1,104.0
ID0162,Greg,2021-01-03,13:35:02,Payment related,Y,Y,69.0,0:01:33,2.0,28.69,LATAM,Vendor3,69.0
ID0163,Dan,2021-01-03,13:58:05,Contract related,Y,Y,113.0,0:02:38,1.0,32.86,NA,Vendor2,113.0
ID0164,Joe,2021-01-03,13:58:05,Streaming,Y,Y,88.0,0:03:23,5.0,34.73,EMEA,Vendor1,88.0
ID0165,Joe,2021-01-03,13:58:05,Streaming,N,N,,,,43.03,LATAM,Vendor1,
ID0166,Stewart,2021-01-03,13:58:05,Payment related,N,N,,,,31.85,LATAM,Vendor3,
ID0167,Joe,2021-01-03,14:03:50,Payment related,Y,Y,84.0,0:00:58,2.0,32.81,LATAM,Vendor3,84.0
ID0168,Diane,2021-01-03,14:03:50,Streaming,Y,Y,113.0,0:01:22,3.0,25.26,EMEA,Vendor1,113.0
ID0169,Joe,2021-01-03,14:47:02,Streaming,Y,Y,38.0,0:05:31,4.0,36.47,EMEA,Vendor2,38.0
ID0170,Dan,2021-01-03,14:47:02,Streaming,Y,Y,14.0,0:06:14,4.0,19.35,LATAM,Vendor2,14.0
ID0171,Martha,2021-01-03,15:34:34,Streaming,Y,N,25.0,0:05:32,4.0,40.99,LATAM,Vendor3,25.0
ID0172,Dan,2021-01-03,15:34:34,Contract related,N,N,,,,6.39,LATAM,Vendor3,
ID0173,Diane,2021-01-03,16:29:17,Technical Support,N,N,,,,23.19,APAC,Vendor2,
ID0174,Joe,2021-01-03,16:29:17,Payment related,Y,Y,117.0,0:02:07,4.0,23.93,APAC,Vendor1,117.0
ID0175,Stewart,2021-01-03,17:31:12,Payment related,Y,N,57.0,0:06:01,2.0,34.24,NA,Vendor3,57.0
ID0176,Martha,2021-01-03,17:31:12,Technical Support,Y,Y,119.0,0:05:19,5.0,32.44,EMEA,Vendor2,119.0
ID0177,Martha,2021-01-04,9:01:26,Contract related,N,N,,,,6.62,LATAM,Vendor2,
ID0178,Diane,2021-01-04,9:01:26,Streaming,Y,Y,93.0,0:06:32,5.0,36.15,NA,Vendor3,93.0
ID0179,Martha,2021-01-04,9:31:41,Payment related,Y,Y,86.0,0:01:04,4.0,30.26,NA,Vendor1,86.0
ID0180,Joe,2021-01-04,9:31:41,Streaming,N,N,,,,50.0,NA,Vendor2,
ID0181,Dan,2021-01-04,9:43:12,Contract related,Y,Y,92.0,0:02:59,3.0,48.42,APAC,Vendor3,92.0
ID0182,Greg,2021-01-04,9:43:12,Streaming,N,N,,,,48.78,NA,Vendor1,
ID0183,Martha,2021-01-04,10:03:22,Technical Support,Y,Y,106.0,0:05:42,3.0,31.46,NA,Vendor2,106.0
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,Y,Y,67.0,0:02:44,3.0,20.0,APAC,Vendor3,67.0
ID0185,Jim,2021-01-04,10:27:50,Streaming,Y,Y,90.0,0:04:17,3.0,15.89,APAC,Vendor2,90.0
ID0186,Diane,2021-01-04,10:27:50,Technical Support,N,N,,,,45.55,APAC,Vendor1,
ID0187,Becky,2021-01-04,11:09:36,Streaming,Y,N,50.0,0:03:49,4.0,23.65,APAC,Vendor3,50.0
ID0188,Diane,2021-01-04,11:09:36,Admin Support,Y,N,89.0,0:04:16,3.0,33.8,LATAM,Vendor1,89.0
ID0189,Jim,2021-01-04,11:13:55,Admin Support,Y,Y,74.0,0:06:18,3.0,29.75,NA,Vendor2,74.0
ID0190,Martha,2021-01-04,11:13:55,Payment related,Y,Y,63.0,0:02:22,2.0,39.43,NA,Vendor3,63.0
ID0191,Becky,2021-01-04,11:18:14,Contract related,Y,Y,45.0,0:06:31,5.0,13.52,EMEA,Vendor2,45.0
ID0192,Martha,2021-01-04,11:18:14,Technical Support,N,N,,,,12.7,LATAM,Vendor3,
ID0193,Dan,2021-01-04,11:22:34,Payment related,Y,Y,31.0,0:06:43,2.0,41.64,LATAM,Vendor1,31.0
ID0194,Joe,2021-01-04,11:22:34,Streaming,N,N,,,,27.32,APAC,Vendor1,
ID0195,Joe,2021-01-04,11:32:38,Contract related,Y,Y,43.0,0:03:44,5.0,40.5,EMEA,Vendor1,43.0
ID0196,Martha,2021-01-04,11:32:38,Streaming,Y,Y,50.0,0:05:42,4.0,16.42,LATAM,Vendor1,50.0
ID0197,Dan,2021-01-04,12:02:53,Technical Support,Y,Y,48.0,0:05:12,4.0,39.34,LATAM,Vendor1,48.0
ID0198,Martha,2021-01-04,12:02:53,Admin Support,Y,Y,113.0,0:02:44,5.0,20.23,EMEA,Vendor2,113.0
ID0199,Jim,2021-01-04,12:15:50,Streaming,N,N,,,,49.08,APAC,Vendor2,
ID0200,Joe,2021-01-04,12:15:50,Technical Support,Y,Y,103.0,0:06:40,5.0,10.56,EMEA,Vendor2,103.0
ID0201,Becky,2021-01-04,12:15:50,Technical Support,Y,N,95.0,0:04:27,3.0,9.42,APAC,Vendor3,95.0
ID0202,Joe,2021-01-04,12:15:50,Admin Support,Y,Y,30.0,0:05:04,1.0,30.92,EMEA,Vendor2,30.0
ID0203,Greg,2021-01-04,13:32:10,Admin Support,Y,Y,124.0,0:03:19,3.0,37.76,APAC,Vendor2,124.0
ID0204,Diane,2021-01-04,13:32:10,Admin Support,Y,Y,17.0,0:02:03,5.0,30.46,APAC,Vendor1,17.0
ID0205,Stewart,2021-01-04,13:45:07,Streaming,Y,Y,113.0,0:06:00,3.0,48.5,APAC,Vendor3,113.0
ID0206,Jim,2021-01-04,13:45:07,Technical Support,Y,Y,25.0,0:02:27,5.0,11.37,LATAM,Vendor3,25.0
ID0207,Jim,2021-01-04,13:56:38,Admin Support,Y,Y,52.0,0:04:22,5.0,10.19,NA,Vendor3,52.0
ID0208,Dan,2021-01-04,13:56:38,Admin Support,Y,Y,28.0,0:02:44,5.0,44.22,EMEA,Vendor3,28.0
ID0209,Greg,2021-01-04,14:25:26,Technical Support,Y,Y,69.0,0:03:05,3.0,27.01,LATAM,Vendor2,69.0
ID0210,Martha,2021-01-04,14:25:26,Streaming,Y,Y,106.0,0:03:52,3.0,41.89,EMEA,Vendor3,106.0
ID0211,Jim,2021-01-04,14:28:19,Technical Support,N,N,,,,17.04,LATAM,Vendor1,
ID0212,Joe,2021-01-04,14:28:19,Payment related,Y,Y,26.0,0:04:59,3.0,30.22,LATAM,Vendor3,26.0
ID0213,Joe,2021-01-04,14:31:12,Payment related,Y,Y,53.0,0:05:55,4.0,7.97,APAC,Vendor2,53.0
ID0214,Martha,2021-01-04,14:31:12,Technical Support,Y,Y,77.0,0:04:10,2.0,38.13,NA,Vendor1,77.0
ID0215,Jim,2021-01-04,14:49:55,Contract related,Y,Y,45.0,0:03:02,3.0,30.53,EMEA,Vendor3,45.0
ID0216,Becky,2021-01-04,14:49:55,Technical Support,N,N,,,,9.76,NA,Vendor2,
ID0217,Greg,2021-01-04,15:23:02,Streaming,Y,Y,56.0,0:04:16,4.0,21.62,EMEA,Vendor1,56.0
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,Y,Y,13.0,0:03:56,2.0,27.0,EMEA,Vendor2,13.0
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,Y,Y,120.0,0:06:50,5.0,44.28,NA,Vendor2,120.0
ID0220,Diane,2021-01-04,15:48:58,Payment related,Y,Y,22.0,0:00:50,1.0,7.04,LATAM,Vendor3,22.0
ID0221,Martha,2021-01-04,16:48:00,Payment related,Y,Y,81.0,0:03:21,4.0,28.81,APAC,Vendor2,81.0
